##X¡¢Y unit mm	
Param	XOffset=3	  YOffset=5.5	XSpan=.66	YSpan=.66	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
645	9	53	 5.33	34.63
646	9	54	 5.33	35.30
647	9	55	 5.33	35.96
648	9	56	 5.33	36.63
649	9	57	 5.33	37.30
650	9	58	 5.33	37.96
651	9	59	 5.33	38.63
652	9	60	 5.33	39.29
653	9	61	 5.33	39.96
654	9	62	 5.33	40.63
655	9	63	 5.33	41.29
656	9	64	 5.33	41.96
657	9	65	 5.33	42.62
658	9	66	 5.33	43.29
659	9	67	 5.33	43.96
660	9	68	 5.33	44.62
661	9	69	 5.33	45.29
662	9	70	 5.33	45.95
663	9	71	 5.33	46.62
664	9	72	 5.33	47.29
665	9	73	 5.33	47.95
666	9	74	 5.33	48.62
667	10	1	 5.99	 0.00
668	10	2	 5.99	 0.67
669	10	3	 5.99	 1.33
670	10	4	 5.99	 2.00
671	10	5	 5.99	 2.66
672	10	6	 5.99	 3.33
673	10	7	 5.99	 4.00
674	10	8	 5.99	 4.66
675	10	9	 5.99	 5.33
676	10	10	 5.99	 5.99
677	10	11	 5.99	 6.66
678	10	12	 5.99	 7.33
679	10	13	 5.99	 7.99
680	10	14	 5.99	 8.66
681	10	15	 5.99	 9.32
682	10	16	 5.99	 9.99
683	10	17	 5.99	10.66
684	10	18	 5.99	11.32
685	10	19	 5.99	11.99
686	10	20	 5.99	12.65
687	10	21	 5.99	13.32
688	10	22	 5.99	13.99
689	10	23	 5.99	14.65
690	10	24	 5.99	15.32
691	10	25	 5.99	15.98
692	10	26	 5.99	16.65
693	10	27	 5.99	17.32
694	10	28	 5.99	17.98
695	10	29	 5.99	18.65
696	10	30	 5.99	19.31
697	10	31	 5.99	19.98
698	10	32	 5.99	20.65
699	10	33	 5.99	21.31
700	10	34	 5.99	21.98
701	10	35	 5.99	22.64
702	10	36	 5.99	23.31
703	10	37	 5.99	23.98
704	10	38	 5.99	24.64
705	10	39	 5.99	25.31
706	10	40	 5.99	25.97
707	10	41	 5.99	26.64
708	10	42	 5.99	27.31
709	10	43	 5.99	27.97
710	10	44	 5.99	28.64
711	10	45	 5.99	29.30
712	10	46	 5.99	29.97
713	10	47	 5.99	30.64
714	10	48	 5.99	31.30
715	10	49	 5.99	31.97
716	10	50	 5.99	32.63
717	10	51	 5.99	33.30
718	10	52	 5.99	33.97
719	10	53	 5.99	34.63
720	10	54	 5.99	35.30
721	10	55	 5.99	35.96
722	10	56	 5.99	36.63
723	10	57	 5.99	37.30
724	10	58	 5.99	37.96
725	10	59	 5.99	38.63
726	10	60	 5.99	39.29
727	10	61	 5.99	39.96
728	10	62	 5.99	40.63
729	10	63	 5.99	41.29
730	10	64	 5.99	41.96
731	10	65	 5.99	42.62
732	10	66	 5.99	43.29
733	10	67	 5.99	43.96
734	10	68	 5.99	44.62
735	10	69	 5.99	45.29
736	10	70	 5.99	45.95
737	10	71	 5.99	46.62
738	10	72	 5.99	47.29
739	10	73	 5.99	47.95
740	10	74	 5.99	48.62
741	11	1	 6.66	 0.00
742	11	2	 6.66	 0.67
743	11	3	 6.66	 1.33
744	11	4	 6.66	 2.00
745	11	5	 6.66	 2.66
746	11	6	 6.66	 3.33
747	11	7	 6.66	 4.00
748	11	8	 6.66	 4.66
749	11	9	 6.66	 5.33
750	11	10	 6.66	 5.99
751	11	11	 6.66	 6.66
752	11	12	 6.66	 7.33
753	11	13	 6.66	 7.99
754	11	14	 6.66	 8.66
755	11	15	 6.66	 9.32
756	11	16	 6.66	 9.99
757	11	17	 6.66	10.66
758	11	18	 6.66	11.32
759	11	19	 6.66	11.99
760	11	20	 6.66	12.65
761	11	21	 6.66	13.32
762	11	22	 6.66	13.99
763	11	23	 6.66	14.65
